date,return
2023-11-16,0.0002587
2023-11-17,0.00750748
2023-11-20,0.00701788
2023-11-21,-0.00434369
2023-11-22,0.00264777
2023-11-24,0.00162613
2023-11-27,-0.00178531
2023-11-28,-0.002011
2023-11-29,-0.00379161
2023-11-30,0.00545666
2023-12-01,0.00690349
2023-12-04,-0.00365138
2023-12-05,-0.00630553
2023-12-06,-0.00402324
2023-12-07,0.00450672
2023-12-08,0.00588469
2023-12-11,0.0077444
2023-12-12,0.00175371
2023-12-13,0.01362942
2023-12-14,0.01084411
2023-12-15,-0.00541112
2023-12-18,0.00386347
2023-12-19,0.00327177
2023-12-20,-0.01587361
2023-12-21,0.0125604
2023-12-22,0.00331571
2023-12-26,0.00795213
2023-12-27,-0.00056614
2023-12-28,-0.00335453
2023-12-29,-0.00109281
2024-01-02,-0.00695385
2024-01-03,-0.00429033
2024-01-04,-0.00384886
2024-01-05,0.00186488
2024-01-08,0.01173156
2024-01-09,-0.00047875
2024-01-10,0.00299984
2024-01-11,-0.00025545
2024-01-12,0.00775779
2024-01-16,-0.00528297
2024-01-17,-0.00923259
2024-01-18,0.00982735
2024-01-19,0.0100036
2024-01-22,-0.00067105
2024-01-23,0.00512726
2024-01-24,0.00178523
2024-01-25,0.00698702
2024-01-26,-0.00242923
2024-01-29,0.00643277
2024-01-30,0.00056957
2024-01-31,-0.01200771
2024-02-01,0.01557362
2024-02-02,0.00266746
2024-02-05,-0.00239129
2024-02-06,0.00166848
2024-02-07,0.00820215
2024-02-08,-0.00091608
2024-02-09,0.00245321
2024-02-12,0.00169234
2024-02-13,-0.01463058
2024-02-14,0.00979748
2024-02-15,0.00767772
2024-02-16,-0.00435161
2024-02-20,-0.00909402
2024-02-21,0.00463654
2024-02-22,0.01654894
2024-02-23,-0.00221228
2024-02-26,-0.00058904
2024-02-27,0.00607558
2024-02-28,-0.00190306
2024-02-29,0.0051856
2024-03-01,0.01483302
2024-03-04,0.00210984
2024-03-05,-0.00741271
2024-03-06,0.01024257
2024-03-07,0.01551786
2024-03-08,-0.01321018
2024-03-11,-0.00251938
2024-03-12,0.00793145
2024-03-13,-0.00252131
2024-03-14,-0.0048347
2024-03-15,-0.00086458
2024-03-18,0.00328815
2024-03-19,0.00474599
2024-03-20,0.00999173
2024-03-21,0.00595281
2024-03-22,0.00036034
2024-03-25,-0.00059674
2024-03-26,-0.00576485
2024-03-27,0.01036824
2024-03-28,0.00326454
2024-04-01,0.00514588
2024-04-02,-0.00259002
2024-04-03,0.00558711
2024-04-04,-0.0128211
2024-04-05,0.01036455
2024-04-08,-0.00176767
2024-04-09,0.00151725
2024-04-10,-0.00722456
2024-04-11,0.00841956
2024-04-12,-0.01602536
2024-04-15,-0.01255563
2024-04-16,-0.00326387
2024-04-17,-0.00596046
2024-04-18,-0.00412552
2024-04-19,-0.0070712
2024-04-22,0.00842197
2024-04-23,0.01212191
2024-04-24,-0.00070384
2024-04-25,0.00429462
2024-04-26,0.00574606
2024-04-29,0.00773186
2024-04-30,-0.01935298
2024-05-01,-0.0034675
2024-05-02,0.01096303
2024-05-03,0.01175659
2024-05-06,0.01346641
2024-05-07,0.00014944
2024-05-08,-0.00018858
2024-05-09,0.00969559
2024-05-10,0.0003851
2024-05-13,-0.00100772
2024-05-14,0.00615844
2024-05-15,0.01437844
2024-05-16,-0.00348971
2024-05-17,0.00473478
2024-05-20,0.00515456
2024-05-21,0.00074437
2024-05-22,-0.00610168
2024-05-23,-0.00734557
2024-05-24,0.00834151
2024-05-28,0.00366465
2024-05-29,-0.01266935
2024-05-30,-0.00156642
2024-05-31,0.00911782
2024-06-03,-0.00654119
2024-06-04,-0.00414382
2024-06-05,0.01187183
2024-06-06,-0.00166568
2024-06-07,-0.00551859
2024-06-10,0.00817519
2024-06-11,-0.00408654
2024-06-12,0.00932348
2024-06-13,0.00266069
2024-06-14,-0.00369135
2024-06-17,0.00507568
2024-06-18,0.0062837
2024-06-20,-0.00113632
2024-06-21,-0.00610364
2024-06-24,-0.00261984
2024-06-25,0.00343853
2024-06-26,-0.00312919
2024-06-27,2.92e-06
2024-06-28,-0.0021218
2024-07-01,-0.00088265
2024-07-02,0.00396498
2024-07-03,0.00990703
2024-07-05,-0.00146832
2024-07-08,0.00264474
2024-07-09,-0.00058077
2024-07-10,0.01496556
2024-07-11,-0.00234409
2024-07-12,0.00648925
2024-07-15,-0.00106749
2024-07-16,0.00559278
2024-07-17,-0.0221988
2024-07-18,-0.00441566
2024-07-19,-0.00964616
2024-07-22,0.01254739
2024-07-23,-0.00658026
2024-07-24,-0.02008895
2024-07-25,-0.0041696
2024-07-26,0.01166961
2024-07-29,-0.00425461
2024-07-30,-0.00521477
2024-07-31,0.02554723
2024-08-01,-0.02550215
2024-08-02,-0.02629649
2024-08-05,-0.02456933
2024-08-06,0.01074668
2024-08-07,-0.00617212
2024-08-08,0.02660537
2024-08-09,0.00207079
2024-08-12,0.00311854
2024-08-13,0.01393232
2024-08-14,0.00315465
2024-08-15,0.01752969
2024-08-16,0.00012545
2024-08-19,0.00981578
2024-08-20,-0.00671895
2024-08-21,0.00565593
2024-08-22,-0.01078801
2024-08-23,0.01735477
2024-08-26,-0.00386153
2024-08-27,0.00050513
2024-08-28,-0.0091089
2024-08-29,-1.858e-05
2024-08-30,0.01082653
2024-09-03,-0.03231171
