ret,vol,sharpe,feasible
0.198763,0.184796,0.879801,False
0.176628,0.171065,0.821021,False
0.161558,0.16485,0.76056,False
0.178733,0.191304,0.745168,False
0.151677,0.173773,0.66464,False
0.147355,0.158569,0.701115,False
0.167446,0.16348,0.802949,False
0.182026,0.178456,0.817267,False
0.143624,0.155493,0.690988,False
0.17918,0.173981,0.821931,False
0.182031,0.186838,0.780628,False
0.177491,0.167058,0.845879,False
0.170029,0.205015,0.652872,False
0.209543,0.192102,0.902454,False
0.174281,0.17363,0.795372,True
0.144171,0.148161,0.728873,True
0.18278,0.197348,0.74285,False
0.156689,0.157864,0.76337,False
0.18087,0.176071,0.821772,False
0.187131,0.174225,0.866416,False
0.186917,0.171262,0.880153,False
0.189521,0.17755,0.863649,False
0.196123,0.189602,0.843574,False
0.192998,0.197948,0.792216,False
0.168226,0.181734,0.726589,False
0.164301,0.179197,0.714976,False
0.146128,0.160608,0.684576,True
0.166981,0.170157,0.768708,False
0.151032,0.163973,0.700429,False
0.169925,0.170126,0.786153,False
0.176677,0.180976,0.77633,False
0.165247,0.190326,0.678136,False
0.165108,0.175961,0.732707,False
0.147456,0.159028,0.699726,False
0.178211,0.192215,0.738913,False
0.170926,0.175317,0.768584,False
0.154703,0.161287,0.734859,True
0.164505,0.182126,0.704597,True
0.15991,0.168401,0.734735,False
0.16808,0.179685,0.734063,False
0.188639,0.190857,0.798816,False
0.154905,0.162999,0.728377,True
